config,sample,run,event,value,time
baseline,sample1,1,new_syscall,257,106
baseline,sample1,1,new_syscall,0,106
baseline,sample1,1,new_syscall,3,107
baseline,sample1,1,new_syscall,16,107
baseline,sample1,1,new_syscall,63,107
baseline,sample1,1,new_syscall,231,114
baseline,sample1,1,new_syscall,257,103
baseline,sample1,1,new_syscall,60,116
baseline,sample1,1,new_syscall,0,104
baseline,sample1,1,new_syscall,3,104
baseline,sample1,1,new_syscall,16,104
baseline,sample1,1,new_syscall,63,105
baseline,sample1,1,new_syscall,231,111
baseline,sample1,1,new_syscall,60,113
baseline,sample1,1,corpus,0,0
baseline,sample1,1,throughput,0,0
baseline,sample1,1,coverage,9,0
baseline,sample1,1,corpus,0,0
baseline,sample1,1,throughput,0,0
baseline,sample1,1,coverage,9,0
baseline,sample1,1,corpus,1,0
baseline,sample1,1,throughput,0,0
baseline,sample1,1,coverage,9,0
baseline,sample1,1,corpus,2,0
baseline,sample1,1,throughput,0,0
baseline,sample1,1,coverage,9,0
baseline,sample1,1,corpus,2,0
baseline,sample1,1,throughput,0,0
baseline,sample1,1,coverage,9,0
baseline,sample1,1,corpus,2,0
baseline,sample1,1,throughput,0,0
baseline,sample1,1,coverage,9,0
baseline,sample1,1,corpus,2,0
baseline,sample1,1,throughput,0,0
baseline,sample1,1,coverage,10,0
baseline,sample1,1,corpus,3,0
baseline,sample1,1,throughput,0,0
baseline,sample1,1,coverage,10,0
baseline,sample1,1,corpus,3,0
baseline,sample1,1,throughput,0,0
baseline,sample1,1,coverage,10,0
baseline,sample1,1,corpus,4,0
baseline,sample1,1,throughput,0,0
baseline,sample1,1,coverage,10,0
baseline,sample1,1,corpus,4,1
baseline,sample1,1,throughput,277,1
baseline,sample1,1,coverage,11,1
baseline,sample1,1,corpus,5,1
baseline,sample1,1,throughput,269,1
baseline,sample1,1,coverage,11,1
baseline,sample1,1,corpus,5,2
baseline,sample1,1,throughput,458,2
baseline,sample1,1,coverage,11,2
baseline,sample1,1,corpus,5,15
baseline,sample1,1,throughput,375,15
baseline,sample1,1,coverage,11,15
baseline,sample1,1,corpus,5,15
baseline,sample1,1,throughput,659,15
baseline,sample1,1,coverage,11,15
baseline,sample1,1,corpus,5,19
baseline,sample1,1,throughput,595,19
baseline,sample1,1,coverage,11,19
baseline,sample1,1,corpus,7,19
baseline,sample1,1,throughput,593,19
baseline,sample1,1,coverage,11,19
baseline,sample1,1,corpus,7,19
baseline,sample1,1,throughput,657,19
baseline,sample1,1,coverage,11,19
baseline,sample1,1,corpus,7,30
baseline,sample1,1,throughput,531,30
baseline,sample1,1,coverage,11,30
baseline,sample1,1,corpus,7,30
baseline,sample1,1,throughput,648,30
baseline,sample1,1,coverage,11,30
baseline,sample1,1,corpus,7,45
baseline,sample1,1,throughput,539,45
baseline,sample1,1,coverage,11,45
baseline,sample1,1,corpus,7,46
baseline,sample1,1,throughput,645,46
baseline,sample1,1,coverage,11,46
baseline,sample1,1,corpus,7,46
baseline,sample1,1,throughput,641,46
baseline,sample1,1,coverage,11,46
baseline,sample1,1,corpus,9,46
baseline,sample1,1,throughput,640,46
baseline,sample1,1,coverage,11,46
baseline,sample1,1,corpus,9,46
baseline,sample1,1,throughput,643,46
baseline,sample1,1,coverage,11,46
baseline,sample1,1,corpus,9,61
baseline,sample1,1,throughput,565,61
baseline,sample1,1,coverage,11,61
baseline,sample1,1,corpus,9,61
baseline,sample1,1,throughput,636,61
baseline,sample1,1,coverage,11,61
baseline,sample1,1,corpus,9,76
baseline,sample1,1,throughput,572,76
baseline,sample1,1,coverage,11,76
baseline,sample1,1,corpus,9,77
baseline,sample1,1,throughput,634,77
baseline,sample1,1,coverage,11,77
baseline,sample1,1,corpus,9,92
baseline,sample1,1,throughput,583,92
baseline,sample1,1,coverage,11,92
baseline,sample1,1,corpus,9,92
baseline,sample1,1,throughput,633,92
baseline,sample1,1,coverage,11,92
baseline,sample1,1,corpus,9,107
baseline,sample1,1,throughput,586,107
baseline,sample1,1,coverage,11,107
baseline,sample1,1,corpus,9,107
baseline,sample1,1,throughput,631,107
baseline,sample1,1,coverage,11,107
cmplog,sample1,1,corpus,0,0
cmplog,sample1,1,throughput,0,0
cmplog,sample1,1,coverage,9,0
cmplog,sample1,1,corpus,0,0
cmplog,sample1,1,throughput,0,0
cmplog,sample1,1,coverage,9,0
cmplog,sample1,1,corpus,1,0
cmplog,sample1,1,throughput,0,0
cmplog,sample1,1,coverage,9,0
cmplog,sample1,1,corpus,1,0
cmplog,sample1,1,throughput,0,0
cmplog,sample1,1,coverage,9,0
cmplog,sample1,1,corpus,1,0
cmplog,sample1,1,throughput,0,0
cmplog,sample1,1,coverage,10,0
cmplog,sample1,1,corpus,2,0
cmplog,sample1,1,throughput,0,0
cmplog,sample1,1,coverage,9,0
cmplog,sample1,1,corpus,2,0
cmplog,sample1,1,throughput,0,0
cmplog,sample1,1,coverage,9,0
cmplog,sample1,1,corpus,3,0
cmplog,sample1,1,throughput,0,0
cmplog,sample1,1,coverage,10,0
cmplog,sample1,1,corpus,3,3
cmplog,sample1,1,throughput,7,3
cmplog,sample1,1,coverage,10,3
cmplog,sample1,1,corpus,4,3
cmplog,sample1,1,throughput,7,3
cmplog,sample1,1,coverage,10,3
cmplog,sample1,1,corpus,4,15
cmplog,sample1,1,throughput,1137,15
