byte1=72 byte2=58 string=H:
byte1=72 byte2=-87 string=H�
byte1=72 byte2=114 string=Hr
byte1=72 byte2=-53 string=H�
byte1=72 byte2=44 string=H,
byte1=72 byte2=122 string=Hz
byte1=72 byte2=-53 string=H�
byte1=72 byte2=14 string=H
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=-98 string=H�
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
byte1=72 byte2=105 string=Hi
