event,value,time
coverage,5,10
throughput,26551,10
coverage,5,20
throughput,52623,20
coverage,5,30
throughput,77967,30
coverage,5,40
throughput,102934,40
coverage,5,50
throughput,128561,50
event,value,time
coverage,5,10
throughput,258,10
coverage,5,20
throughput,1326,20
coverage,5,30
throughput,2829,30
coverage,7,40
throughput,3418,40
coverage,7,50
throughput,4701,50
event,value,time
coverage,5,10
throughput,716,10
coverage,5,20
throughput,1304,20
coverage,5,30
throughput,2804,30
event,value,time
coverage,5,10
throughput,261,10
coverage,5,20
throughput,1344,20
coverage,5,30
throughput,2891,30
coverage,5,40
throughput,4394,40
coverage,5,50
throughput,5423,50
coverage,5,60
throughput,6953,60
coverage,5,71
throughput,7991,71
coverage,5,81
throughput,8575,81
coverage,5,91
throughput,9598,91
coverage,5,101
throughput,10183,101
coverage,5,111
throughput,10758,111
coverage,5,121
throughput,11321,121
event,value,time
coverage,5,10
throughput,1177,10
coverage,5,20
throughput,2228,20
coverage,7,30
throughput,3224,30
coverage,7,40
throughput,3809,40
coverage,7,50
throughput,5198,50
coverage,7,60
throughput,5897,60
coverage,7,70
throughput,6764,70
coverage,7,80
throughput,7944,80
coverage,7,90
throughput,8750,90
coverage,7,100
throughput,9471,100
coverage,7,111
throughput,10070,111
coverage,7,121
throughput,10310,121
coverage,7,131
throughput,10864,131
coverage,7,141
throughput,12147,141
coverage,7,151
throughput,12967,151
event,value,time
event,value,time
coverage,5,10
throughput,86,10
coverage,5,20
throughput,726,20
coverage,5,30
throughput,1257,30
coverage,5,40
throughput,2238,40
coverage,15,50
throughput,2777,50
coverage,16,60
throughput,3472,60
coverage,16,70
throughput,4173,70
coverage,16,81
throughput,4689,81
event,value,time
coverage,5,10
throughput,29105,10
coverage,5,20
throughput,57111,20
coverage,5,30
throughput,82223,30
coverage,5,40
throughput,110381,40
coverage,5,50
throughput,137658,50
event,value,time
coverage,12,10
throughput,656,10
coverage,12,20
throughput,741,20
coverage,15,30
throughput,1354,30
coverage,15,40
throughput,1753,40
coverage,15,50
throughput,2009,50
event,value,time
coverage,5,10
throughput,27938,10
coverage,5,20
throughput,54636,20
coverage,5,30
throughput,82564,30
coverage,5,40
throughput,108446,40
coverage,5,50
throughput,134278,50
event,value,time
coverage,5,10
throughput,260,10
coverage,12,20
throughput,1282,20
coverage,12,30
throughput,1664,30
coverage,12,40
throughput,2595,40
coverage,15,50
throughput,3262,50
